# Population Size 1000
# RUN SGA PGA PGA_BCAST
0 0.569313 0.391130 0.496368
1 0.570640 0.380181 0.399987
2 0.569129 0.385078 0.345567
3 0.569406 0.387958 0.347395
4 0.569331 0.381630 0.339104
5 0.568572 0.385629 0.346296
6 0.568927 0.379327 0.348198
7 0.571054 0.389125 0.344542
8 0.569238 0.386879 0.344476
9 0.569379 0.381581 0.344377
10 0.569181 0.387248 0.346586
11 0.569201 0.381282 0.341912
12 0.569931 0.388432 0.342860
13 0.567959 0.388142 0.342964
14 0.567856 0.387581 0.344620
15 0.570686 0.387139 0.345240
16 0.570379 0.383123 0.342290
17 0.568396 0.387722 0.347735
18 0.569160 0.389746 0.350890
19 0.569824 0.381261 0.343954
