# RUN SGA PGA PGA_BCAST
0 12.865707 2.913861 1.889718
1 12.869611 2.937233 1.887120
2 12.887585 2.917579 1.894285
3 12.866422 2.929919 1.900970
4 12.887521 2.961102 1.901185
5 12.880994 2.954678 1.890958
6 12.871162 2.935236 1.900327
7 12.865399 2.916478 1.886741
8 12.874910 2.922033 1.891639
9 12.895097 2.930120 1.891281
10 12.898802 2.919791 1.864273
11 12.900897 2.927661 1.894178
12 12.878930 2.959782 1.898156
13 12.888886 2.949462 1.933983
14 12.890973 2.965464 1.888719
15 12.863450 2.941253 1.979464
16 12.869313 2.935771 1.892887
17 12.866300 2.924299 1.897864
18 12.866541 2.952925 2.081880
19 12.879362 2.925085 1.889207
