25 March 2017 10:21:14 PM

PARALLEL_GA:
  A simple example of a genetic algorithm.

  Generation       Best            Average       Standard 
  number           value           fitness       deviation 

         0         129.539          13.406         27.2439
         1         129.539         20.2728         29.7472
         2         129.539         28.3364         33.1902
         3         129.539         27.4615         31.7104
         4         129.539         33.2661         33.1512
         5         129.539          38.601         35.9054
         6         129.539         39.8952         35.5296
         7         129.539         47.9959         37.4343
         8         129.539         57.3801         38.1995
         9         129.539         54.9248         37.1227
        10         129.539         62.0739         37.9027
        11         129.539         63.8965         35.9449
        12         129.539          58.803         36.5033
        13         129.539         61.0702         35.2065
        14         129.539         68.7196         36.1883
        15         129.539         71.4455         35.8421
        16         129.539         70.6265          32.714
        17         129.539         69.6457         32.6326
        18         129.539         67.3983         30.6297
        19         129.539         61.6709         33.3228
        20         129.539         62.7855          32.565
        21         129.539         61.1855         30.4936
        22         129.539          60.604         28.8636
        23         129.539         61.0078         28.3158
        24         129.539         60.5142          26.854
        25         129.539         58.1201         25.9393
        26         129.539         56.6323          24.017
        27         129.539         55.2306         23.9106
        28         129.539         56.7001         23.4821
        29         129.539         61.7947         24.5207
        30         129.539         68.0999          27.473
        31         129.539         67.5215         25.8853
        32         129.539         60.5564         31.3527
        33         129.539         61.1876         31.4793
        34         129.539         67.4614         31.7902
        35         129.539         56.1568           34.29
        36         129.539         52.4092         35.7471
        37         129.539          56.098          34.406
        38         129.539         51.6545         35.2002
        39          129.98         53.3055          35.198
        40          129.98         65.3611         38.4443
        41          129.98         70.8963         39.7927
        42         130.148         76.4185         39.4409
        43         130.148         74.4612         36.1977
        44         130.148         71.5605         35.9034
        45         130.148         66.9498         33.0833
        46         130.148         60.6233         34.0616
        47         130.148          52.669         36.0411
        48         130.148         47.2243         34.6244
        49         130.148          43.557         31.7745
        50         130.148         50.3299         30.0119
        51         130.148          55.005         29.4097
        52         130.148         57.2345         27.6375
        53         130.148         59.9528         27.6833
        54         130.148         61.3568         25.5064
        55         130.148         65.6037         25.5589
        56         130.148         72.2146         24.7234
        57         130.148         62.6373         29.9465
        58         130.148         64.9714         29.8737
        59         130.148         58.6997          29.586
        60         130.148         48.5973         31.6993
        61         130.148         50.3793         30.5471
        62         130.148         50.5278         28.8008
        63         130.148         54.1166          27.191
        64         130.148         54.2832         27.2364
        65         130.148         47.9204         30.8728
        66         130.148         52.3995         28.9411
        67         130.148         45.8125          30.841
        68         130.148         40.6922         30.5467
        69         130.148          45.903         32.0808
        70         130.148         38.9289         31.8043
        71         130.148         31.8425         32.4801
        72         130.148         39.9405         33.0119
        73         130.148         35.9898         31.7696
        74         130.148         48.4739         35.2302
        75         130.148         49.9372         32.7146
        76         130.148         47.8284         30.3375
        77         130.148         39.9993         30.4801
        78         130.148         37.6714         29.4688
        79         130.148         34.8676         30.1568
        80         130.148         40.5662         28.6572
        81         130.148         36.8529         27.3191
        82         130.148         49.3867         32.0243
        83         130.148         56.2111          32.642
        84         130.148         62.0076         33.2584
        85         130.148         62.7308         33.1516
        86         130.148         67.4554          34.047
        87         130.148         72.1373          33.436
        88         130.148         70.5683         31.3962
        89         130.148         66.9908         31.2099
        90         130.148         62.5452         30.4076
        91         130.148         65.7163         30.6214
        92         130.148          62.511         33.0042
        93         130.148         54.1873         34.7621
        94         130.148         44.6228         32.5022
        95         130.148         41.3754         31.8676
        96         130.148         62.5059          40.826
        97         130.148         61.1387         36.3466
        98         130.148         61.1915         34.9463
        99         130.148         61.9568         33.0601

  Best member after 100 generations:

  var(0) = -503.898
  var(1) = -511.308
  var(2) = -479.282

  Best fitness = 130.148

SIMPLE_GA:
  Normal end of execution.

25 March 2017 10:21:15 PM
