25 March 2017 10:19:06 PM

SIMPLE_GA:
  A simple example of a genetic algorithm.

  Generation       Best            Average       Standard 
  number           value           fitness       deviation 

         0         129.539         63.5393         27.2616
         1         129.539         74.9438         26.0131
         2         129.539         82.7413         24.9253
         3         129.884         87.3761         24.4746
         4         129.884         90.3135         23.7797
         5         130.347         90.7363         23.4612
         6         130.347         90.3336         24.1686
         7         130.347         93.0287         23.3451
         8         132.108         93.8392         23.7676
         9         132.108         95.7384         23.0276
        10         132.108         96.5538         24.1355
        11         132.108         97.0601         24.0615
        12         132.108         96.9201         24.0916
        13         132.108         100.148         24.2233
        14         132.108         100.896         23.6295
        15         132.108         101.575          24.374
        16         132.108         102.538         22.9895
        17         132.108         102.135         23.9684
        18         132.108         102.762         23.0992
        19         132.108         102.537         23.4969
        20         132.108         102.272         24.5029
        21         132.108         102.805         23.5813
        22         132.108         101.153         24.6855
        23         132.108         101.669         24.7952
        24         132.108         103.753         23.6151
        25         132.108         102.056         23.9637
        26         132.108         103.143         23.6187
        27         132.108         103.681         22.7632
        28         132.108         103.274         23.8604
        29         132.108         104.857         23.7806
        30         132.108         105.653         23.3624
        31         132.108         105.804         23.4512
        32         132.108         104.965         24.6772
        33         132.108         104.692         24.3957
        34         132.108         104.893         23.6013
        35         132.108         105.167         23.8709
        36         132.108         103.764         24.1187
        37         132.108         104.118         23.9916
        38         132.108         105.233         24.0126
        39         132.108         105.458         23.9251
        40         132.108         106.428         23.2984
        41         132.108         105.795         23.0221
        42         132.108         103.421         24.1605
        43         132.112         104.407         23.5503
        44         132.112         105.508          23.592
        45         132.112         104.916         24.1857
        46         132.112         105.172          24.429
        47         132.112         104.066         24.9209
        48         132.112         102.996          25.252
        49         132.112         103.782         24.8367
        50         132.115         103.942         24.8372
        51         132.115         104.742          24.394
        52         132.115         104.337         25.1809
        53         132.115         106.097         23.6233
        54         132.115         105.699         24.5212
        55         132.115         106.671         24.0928
        56         132.115          106.54          23.274
        57         132.115         105.083         23.9414
        58         132.115         104.519         24.9932
        59         132.115         103.386         25.2491
        60         132.115         104.826         23.6731
        61         132.115         104.283          23.629
        62         132.115         103.855         24.5796
        63         132.115         104.479         24.6738
        64         132.115         105.222         24.3425
        65         132.115         105.723         24.0819
        66         132.115         105.194         24.1654
        67         132.115         105.908         23.9594
        68         132.115         104.825         25.1373
        69         132.115          105.66          25.448
        70         132.115         105.659         24.4074
        71         132.115         106.076         24.9425
        72         132.115         106.721         24.2961
        73         132.115         106.631         23.1493
        74         132.115         106.864         22.8743
        75         132.115         104.861         24.7569
        76         132.115         104.842         24.0643
        77         132.115         106.086         23.8415
        78         132.115         106.549          23.567
        79         132.115         105.922         24.1486
        80         132.115         104.455         25.6677
        81         132.115           105.4         24.8948
        82         132.115         107.832         23.5248
        83         132.115         107.154         24.7483
        84         132.115         105.392         24.6465
        85         132.115         104.988         23.9083
        86         132.115         103.405         24.8133
        87         132.115         105.487          23.731
        88         132.115         105.778         23.2247
        89         132.115         105.397         23.1447
        90         132.115         105.215         24.2062
        91         132.115         105.378         24.4628
        92         132.115         105.737         25.2874
        93         132.115         106.781         23.9301
        94         132.115         105.469         23.5357
        95         132.115         103.912          24.681
        96         132.115         104.809         24.0002
        97         132.115         104.327         25.0725
        98         132.115         102.137         25.0248
        99         132.115         103.469         25.0237

  Best member after 100 generations:

  var(0) = 509.144
  var(1) = -511.407
  var(2) = 261.906

  Best fitness = 132.115

SIMPLE_GA:
  Normal end of execution.

25 March 2017 10:19:07 PM
