Nodes,sga time,pga_time,speedup
1,12.892597,13.339047,-0.44645
2,12.874865,3.541543,9.333322
3,12.878077,3.494114,9.383963
4,12.899236,2.141242,10.757994
5,12.875626,1.904632,10.970994
6,12.924750,1.697211,11.227539
Nodes,sga time,pga_time,speedup
Nodes,sga time,pga_time,speedup
Nodes,sga time,pga_time,speedup
Nodes,sga time,pga_time,speedup
Nodes,sga time,pga_time,speedup
Nodes,sga time,pga_time,speedup
1,12.8743,12.9264,0.9960
2,12.8963,8.6697,1.4875
3,12.9221,10.3364,1.2501
4,12.9238,5.5969,2.3091
5,12.9060,5.5497,2.3255
6,12.8919,5.2346,2.4628
Nodes,sga time,pga_time,speedup
1,12.9207,12.9091,1.0009
2,12.9913,8.7335,1.4875
3,12.9458,6.8256,1.8967
4,12.9054,5.6487,2.2847
5,12.9369,6.0123,2.1518
6,12.8770,5.2913,2.4336
Nodes,sga time,pga_time,speedup
1,12.9127,12.9030,1.0007
2,12.9127,8.6194,1.4981
3,12.9127,6.8985,1.8718
4,12.9127,5.6116,2.3011
5,12.9127,5.8240,2.2171
6,12.9127,5.0606,2.5516
Nodes,sga time,pga_time,speedup
1,12.9312,12.8997,1.0024
2,12.9312,8.6322,1.4980
3,12.9312,6.8860,1.8779
4,12.9312,5.6077,2.3060
5,12.9312,5.6652,2.2825
6,12.9312,5.4264,2.3830
# 2017/03/25 21:12:39 Population size: 5000
# Nodes,sga time,pga_time,speedup
# 2017/03/25 21:14:10 Population size: 5000
# Nodes,sga time,pga_time,speedup
1,12.9384,13.3659,0.9680
2,12.9384,3.5352,3.6599
3,12.9384,3.4529,3.7471
4,12.9384,2.0583,6.2859
5,12.9384,2.1411,6.0428
6,12.9384,1.7582,7.3589
# 2017/03/25 21:22:56 Population size: 5000
# 2017/03/25 21:23:26 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8915,13.3337,0.9668
2,12.8915,3.5364,3.6453
3,12.8915,3.4565,3.7296
4,12.8915,2.1564,5.9784
5,12.8915,1.9402,6.6444
6,12.8915,1.7342,7.4336
# 2017/03/25 21:46:23 Population size: 5000
# Using: pga_global_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8740,12.9048,0.9976
2,12.8740,8.6097,1.4953
3,12.8740,6.7626,1.9037
4,12.8740,5.6462,2.2801
5,12.8740,5.5595,2.3157
6,12.8740,5.2849,2.4360
# 2017/03/25 22:51:47 Population size: 5000
# Using: pga_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8697,0.0163,790.4726
2,12.8697,13.3917,0.9610
3,12.8697,7.1628,1.7967
4,12.8697,3.9500,3.2582
5,12.8697,2.9532,4.3579
6,12.8697,2.6874,4.7890
# 2017/03/28 20:04:26 Population size: 5000
# Using: pga_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8646,0.0159,808.5381
2,12.8646,14.4854,0.8881
3,12.8646,7.1739,1.7933
4,12.8646,3.9554,3.2525
5,12.8646,2.9265,4.3959
6,12.8646,2.7076,4.7513
# 2017/03/28 20:07:30 Population size: 5000
# Using: pga_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8898,0.0154,837.5463
2,12.8898,13.3089,0.9685
3,12.8898,7.1691,1.7980
4,12.8898,3.9451,3.2673
5,12.8898,2.9832,4.3208
6,12.8898,2.6937,4.7852
# 2017/03/28 20:09:43 Population size: 5000
# Using: pga_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8728,0.0160,805.6553
2,12.8728,13.5133,0.9526
3,12.8728,6.9827,1.8435
4,12.8728,3.9821,3.2327
5,12.8728,2.8623,4.4974
6,12.8728,2.6643,4.8316
# 2017/03/28 20:11:24 Population size: 5000
# Using: pga_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8825,0.0160,806.0617
2,12.8825,13.3950,0.9617
3,12.8825,7.1747,1.7956
4,12.8825,3.9438,3.2665
5,12.8825,2.9580,4.3552
6,12.8825,2.7059,4.7609
