RUN,SGA,PGA,PGA_BCAST
0,12.865707,2.913861,1.889718
1,12.869611,2.937233,1.887120
2,12.887585,2.917579,1.894285
3,12.866422,2.929919,1.900970
4,12.887521,2.961102,1.901185
5,12.880994,2.954678,1.890958
6,12.871162,2.935236,1.900327
7,12.865399,2.916478,1.886741
8,12.874910,2.922033,1.891639
9,12.895097,2.930120,1.891281
10,12.898802,2.919791,1.864273
11,12.900897,2.927661,1.894178
12,12.878930,2.959782,1.898156
13,12.888886,2.949462,1.933983
14,12.890973,2.965464,1.888719
15,12.863450,2.941253,1.979464
16,12.869313,2.935771,1.892887
17,12.866300,2.924299,1.897864
18,12.866541,2.952925,2.081880
19,12.879362,2.925085,1.889207
# 2017/04/03 00:20:17 Population size: 5000
# 2017/04/03 00:21:18 Population size: 5000
# Using: /sga_P5000 /pga_v2_P5000 and /pga_partial_P5000 binary
# Nodes,sga time,pga_time,speedup
0,12.896112,15.153598,1.690761
1,12.886810,16.872689,1.704756
2,12.865648,17.518413,1.685015
3,12.875262,15.265545,1.712742
4,12.873777,15.445953,1.692627
5,12.891033,14.386711,1.700335
6,12.909392,16.143208,1.702590
7,12.873896,15.807415,1.706759
8,12.888346,16.575400,1.713086
9,12.879297,16.639514,1.702533
10,12.867553,16.883377,1.698757
11,12.897687,14.859457,1.688787
12,12.867096,16.637989,1.706040
13,12.882275,14.612585,1.697782
14,12.865150,16.831643,1.708357
15,12.866335,18.594396,1.697659
16,12.883267,16.000358,1.708189
17,12.868987,14.880351,1.706975
18,12.867865,17.132932,2.041308
19,12.864862,15.284726,1.710126
# 2017/04/03 00:42:47 Population size: 5000
# Using: /pga_v2_P5000 /pga_global_P5000 and /pga_partial_P5000 binary
# Nodes,sga time,pga_time,speedup
# 2017/04/03 00:43:15 Population size: 5000
# Using: /pga_v2_P5000 /pga_global_P5000 and /pga_partial_P5000 binary
# Nodes,sga time,pga_time,speedup
# 2017/04/03 00:43:50 Population size: 5000
# Using: /pga_v2_P5000 /pga_global_P5000 and /pga_partial_P5000 binary
# Nodes,sga time,pga_time,speedup
# 2017/04/03 00:50:33 Population size: 5000
# Using: /pga_v2_P5000 /pga_global_P5000 and /pga_partial_P5000 binary
# Nodes,sga time,pga_time,speedup
0,14.826203,5.044077,1.706688
1,14.736802,5.015653,1.984510
2,15.057050,4.916867,1.711577
3,15.040446,4.991091,1.693275
4,16.285809,4.905572,1.693540
5,14.584721,5.074487,1.701646
6,14.781232,5.051503,1.697998
7,15.418754,5.040303,1.706933
8,16.453094,4.987759,1.697377
9,16.994333,4.895873,1.703926
10,15.732398,4.921730,1.698612
11,14.417295,4.917998,1.705454
12,14.605415,5.087928,1.706251
13,14.851258,4.915494,1.711195
14,15.473723,4.929361,1.702435
15,14.420662,5.059461,1.696615
16,16.041769,5.094677,1.709547
17,16.888476,5.068494,1.687312
18,15.027569,4.968402,1.713618
19,16.441409,4.966533,1.707704
