# 2017/04/02 19:58:58 Population size: 4000
# Using: pga_partial_P4000 and sga_P4000 binary
# Nodes,sga time,pga_time,speedup
1,8.3081,8.5824,0.9680
2,8.3081,2.3454,3.5423
3,8.3081,2.2417,3.7061
4,8.3081,1.3922,5.9675
5,8.3081,1.4698,5.6524
6,8.3081,1.3211,6.2888
# 2017/04/02 20:15:17 Population size: 4000
# Using: pga_global_P4000 and sga_P4000 binary
# Nodes,sga time,pga_time,speedup
1,8.3002,8.3089,0.9990
2,8.3002,5.5299,1.5010
3,8.3002,4.3197,1.9215
4,8.3002,3.9703,2.0906
5,8.3002,3.8353,2.1642
6,8.3002,3.4016,2.4401
