# 2017/03/28 20:16:06 Population size: 5000
# Using: pga_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8911,0.0161,802.5822
2,12.8911,13.3497,0.9656
3,12.8911,7.2443,1.7795
4,12.8911,3.9518,3.2621
5,12.8911,2.9902,4.3112
6,12.8911,2.7294,4.7231
# 2017/03/28 20:17:02 Population size: 5000
# Using: pga_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.9170,0.0158,819.2926
2,12.9170,13.8720,0.9312
3,12.9170,6.9003,1.8720
4,12.9170,3.9032,3.3093
5,12.9170,2.8155,4.5878
6,12.9170,2.6966,4.7901
# 2017/03/28 20:27:17 Population size: 5000
# Using: pga_global_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.9541,12.8975,1.0044
2,12.9541,8.6058,1.5053
3,12.9541,6.7297,1.9249
4,12.9541,5.6749,2.2827
5,12.9541,5.6667,2.2860
6,12.9541,5.2869,2.4502
# 2017/03/28 20:37:17 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8762,13.3252,0.9663
2,12.8762,3.5673,3.6095
3,12.8762,3.5199,3.6581
4,12.8762,2.1382,6.0221
5,12.8762,1.8990,6.7805
6,12.8762,1.7050,7.5522
# 2017/03/28 20:38:00 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8783,13.3306,0.9661
2,12.8783,3.5937,3.5836
3,12.8783,3.5081,3.6710
4,12.8783,2.0973,6.1403
5,12.8783,1.9573,6.5795
6,12.8783,1.7080,7.5401
# 2017/03/28 23:25:25 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8924,13.3216,0.9678
2,12.8924,3.5229,3.6596
3,12.8924,3.4727,3.7125
4,12.8924,2.1271,6.0611
5,12.8924,1.9358,6.6600
6,12.8924,1.6953,7.6048
# 2017/03/28 23:26:09 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8770,13.3227,0.9665
2,12.8770,3.5525,3.6247
3,12.8770,3.4597,3.7220
4,12.8770,2.1474,5.9966
5,12.8770,1.9225,6.6980
6,12.8770,1.7017,7.5672
# 2017/03/30 11:27:50 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8712,13.3128,0.9668
2,12.8712,3.5291,3.6471
3,12.8712,3.4729,3.7061
4,12.8712,2.1426,6.0074
5,12.8712,1.9511,6.5970
6,12.8712,1.7133,7.5126
# 2017/03/30 11:46:56 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8889,13.3279,0.9671
2,12.8889,3.5340,3.6472
3,12.8889,3.4790,3.7048
4,12.8889,2.1111,6.1052
5,12.8889,1.9301,6.6777
6,12.8889,1.7190,7.4978
# 2017/03/30 14:40:52 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.9012,13.3166,0.9688
2,12.9012,3.5324,3.6522
3,12.9012,3.4387,3.7518
4,12.9012,22.6642,0.5692
5,12.9012,24.9212,0.5177
6,12.9012,31.4758,0.4099
# 2017/03/30 14:49:33 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8857,13.3134,0.9679
2,12.8857,3.5379,3.6422
3,12.8857,3.4669,3.7168
4,12.8857,22.4963,0.5728
5,12.8857,25.1596,0.5122
6,12.8857,32.6189,0.3950
# 2017/03/30 14:55:17 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8951,13.3210,0.9680
2,12.8951,3.5223,3.6610
3,12.8951,3.4591,3.7278
4,12.8951,2.1423,6.0193
5,12.8951,1.9290,6.6849
6,12.8951,1.7125,7.5300
# 2017/03/30 14:56:19 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.9098,13.3178,0.9694
2,12.9098,3.5286,3.6586
3,12.9098,3.4742,3.7159
4,12.9098,2.1116,6.1138
5,12.9098,1.9478,6.6279
6,12.9098,1.7118,7.5417
# 2017/03/30 15:12:23 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8971,13.3402,0.9668
2,12.8971,3.5652,3.6175
3,12.8971,3.5336,3.6499
4,12.8971,2.1391,6.0292
5,12.8971,1.9480,6.6207
6,12.8971,1.6991,7.5906
# 2017/03/30 15:50:56 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8999,13.3382,0.9671
2,12.8999,3.5615,3.6221
3,12.8999,3.4436,3.7461
4,12.8999,22.1304,0.5829
5,12.8999,24.8888,0.5183
6,12.8999,32.4656,0.3973
# 2017/03/30 15:53:14 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.9011,13.3935,0.9632
2,12.9011,3.9375,3.2765
3,12.9011,3.4203,3.7720
4,12.9011,22.2028,0.5811
5,12.9011,25.0733,0.5145
6,12.9011,32.0813,0.4021
# 2017/03/30 15:56:02 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8893,13.3456,0.9658
2,12.8893,3.5373,3.6439
3,12.8893,3.3976,3.7936
4,12.8893,20.6351,0.6246
5,12.8893,25.2937,0.5096
6,12.8893,31.6307,0.4075
# 2017/04/02 13:48:49 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8932,13.3184,0.9681
2,12.8932,3.5467,3.6352
3,12.8932,3.9471,3.2665
4,12.8932,22.4269,0.5749
5,12.8932,25.4422,0.5068
6,12.8932,32.2778,0.3994
# 2017/04/02 13:51:02 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8773,13.3174,0.9670
2,12.8773,3.5226,3.6557
3,12.8773,3.4105,3.7758
4,12.8773,22.4264,0.5742
5,12.8773,25.4837,0.5053
6,12.8773,32.3155,0.3985
# 2017/04/02 13:58:17 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8953,13.3092,0.9689
2,12.8953,3.5532,3.6293
3,12.8953,3.4647,3.7219
4,12.8953,2.1389,6.0290
5,12.8953,1.9281,6.6881
6,12.8953,1.7117,7.5334
# 2017/04/02 13:59:05 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8806,13.3170,0.9672
2,12.8806,3.5331,3.6457
3,12.8806,3.5178,3.6615
4,12.8806,2.1363,6.0294
5,12.8806,1.9231,6.6977
6,12.8806,1.7055,7.5525
# 2017/04/02 14:00:47 Population size: 5000
# Using: pga_global_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.9016,12.8862,1.0012
2,12.9016,8.6065,1.4991
3,12.9016,6.8479,1.8840
4,12.9016,5.6116,2.2991
5,12.9016,5.5684,2.3169
6,12.9016,5.2800,2.4435
# 2017/04/02 14:02:00 Population size: 5000
# Using: pga_global_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8825,12.8777,1.0004
2,12.8825,8.6069,1.4968
3,12.8825,6.7788,1.9004
4,12.8825,5.5768,2.3100
5,12.8825,5.6295,2.2884
6,12.8825,5.2348,2.4609
# 2017/04/02 17:57:24 Population size: 5000
# Using: pga_v2_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8999,12.8628,1.0029
2,12.8999,12.8135,1.0067
3,12.8999,13.0796,0.9863
4,12.8999,13.1631,0.9800
5,12.8999,13.7287,0.9396
6,12.8999,15.4693,0.8339
# 2017/04/02 17:59:02 Population size: 5000
# Using: pga_v2_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8974,12.8711,1.0020
2,12.8974,12.8231,1.0058
3,12.8974,13.0896,0.9853
4,12.8974,13.1585,0.9802
5,12.8974,13.2433,0.9739
6,12.8974,16.2383,0.7943
# 2017/04/02 18:01:54 Population size: 5000
# Using: pga_v2_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8916,12.8862,1.0004
2,12.8916,12.8021,1.0070
3,12.8916,13.0950,0.9845
4,12.8916,13.1523,0.9802
5,12.8916,13.6688,0.9431
6,12.8916,14.8369,0.8689
# 2017/04/02 18:52:16 Population size: 5000
# Using: pga_global_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
# 2017/04/02 19:45:30 Population size: 5000
# Using: pga_global_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8926,12.9033,0.9992
2,12.8926,8.6663,1.4877
3,12.8926,6.6922,1.9265
4,12.8926,6.8933,1.8703
5,12.8926,5.2421,2.4594
6,12.8926,5.0600,2.5479
# 2017/04/02 19:47:30 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
# 2017/04/02 19:50:29 Population size: 5000
# Using: pga_partial_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8780,13.3253,0.9664
2,12.8780,3.5889,3.5883
3,12.8780,3.5110,3.6679
4,12.8780,2.1288,6.0495
5,12.8780,1.9293,6.6750
6,12.8780,1.7058,7.5496
# 2017/04/02 19:57:01 Population size: 5000
# Using: pga_global_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8795,12.8713,1.0006
2,12.8795,8.6353,1.4915
3,12.8795,6.5845,1.9560
4,12.8795,6.7115,1.9190
5,12.8795,5.1471,2.5023
6,12.8795,5.0748,2.5380
# 2017/04/02 20:47:19 Population size: 5000
# Using: pga_v2_P5000 and sga_P5000 binary
# Nodes,sga time,pga_time,speedup
1,12.8789,12.8887,0.9992
2,12.8789,12.8464,1.0025
3,12.8789,13.1183,0.9818
4,12.8789,13.1585,0.9788
5,12.8789,13.4671,0.9563
6,12.8789,15.3387,0.8396
