25 March 2017 10:31:22 PM

PARALLE_GA:
  A simple example of a genetic algorithm.

  Generation       Best            Average       Standard 
  number           value           fitness       deviation 

         0         128.757         62.1728         26.7323
         1         128.785          72.415         25.7332
         2         130.635         79.1694         24.9169
         3         131.366         83.5163         24.6556
         4         131.366         87.5812         24.5354
         5         131.715         90.4655         23.9413
         6         131.715         92.3977         23.2717
         7         131.719          93.984         22.8934
         8         131.719         95.3116         22.7963
         9         131.719         95.8995         22.9744
        10         131.909          96.702         22.8032
        11         131.909         97.8824         22.8882
        12         131.985         99.1565         22.7141
        13         131.985         99.5936         23.4521
        14         132.013         99.8894         23.4183
        15         132.013         100.029         23.5373
        16         132.013         100.337         23.6261
        17         132.056         100.499         24.1472
        18          132.06         100.844         23.7444
        19          132.06         101.102         23.2529
        20         132.075         101.145         23.9942
        21         132.075         101.369         23.8056
        22         132.075         101.702         23.8618
        23         132.075         102.042         23.8618
        24         132.075         102.534         23.4602
        25         132.075         102.223         23.5839
        26         132.075          102.86         23.9546
        27         132.075         102.572         24.0617
        28         132.075         102.896         23.5121
        29          132.08         103.372         23.7788
        30          132.08         103.557         23.7694
        31          132.08         103.911         23.2888
        32          132.08         103.343         23.8586
        33          132.08         103.211         24.2961
        34          132.08         103.626         24.3676
        35          132.08         103.427         23.7002
        36          132.08         102.675         24.1946
        37          132.08         102.263          24.611
        38          132.08         102.422          24.533
        39          132.08         102.284         24.7656
        40          132.08         102.626         24.6605
        41          132.08          103.39         24.7091
        42          132.08         103.529         24.4359
        43         132.112         104.482         23.9222
        44         132.112         103.863         24.4947
        45         132.112         103.681         24.7315
        46         132.112         104.277         24.3177
        47         132.112          104.26         24.1718
        48         132.112         104.261         24.2429
        49         132.112         104.441         24.0105
        50         132.112         104.577         24.0088
        51         132.112         105.372         23.9077
        52         132.112         105.475         23.9765
        53         132.112         105.954         23.9072
        54         132.112         105.659         23.7324
        55         132.112         105.037         24.3598
        56         132.112           104.6         24.5315
        57         132.112         104.336          24.511
        58         132.112         104.842         24.4377
        59         132.112         104.927         24.4649
        60         132.112         104.996         24.6616
        61         132.112         104.993         24.3634
        62         132.112         104.636         24.6181
        63         132.112         104.867         23.8238
        64         132.112         104.461         23.9226
        65         132.112         104.144         24.6465
        66         132.112         104.421         24.2547
        67         132.112          104.07         24.4973
        68         132.112         104.163         24.7513
        69         132.112         104.223         24.3964
        70         132.112         105.156         24.5121
        71         132.112         104.968         24.4321
        72         132.112         104.711         24.2033
        73         132.112           104.8         24.3177
        74         132.112         104.759         24.3348
        75         132.112         104.414         24.1258
        76         132.112         104.625         23.8536
        77         132.112          104.03         24.6705
        78         132.112         104.973         24.3672
        79         132.112         104.526          24.717
        80         132.112         104.535         24.7438
        81         132.112         104.858          24.326
        82         132.112         104.844         24.1826
        83         132.112         104.431          24.302
        84         132.112          105.02         24.0918
        85         132.112         105.028         24.0578
        86         132.112         104.247          24.551
        87         132.112         103.967         24.3099
        88         132.112         104.805         24.0737
        89         132.112          104.98         23.7967
        90         132.112         105.729         23.9807
        91         132.112         105.562         23.8279
        92         132.112         105.257          24.294
        93         132.112         104.714         24.6504
        94         132.112         104.768         24.8305
        95         132.112         105.558         24.5186
        96         132.112          105.52         24.8167
        97         132.112         105.414         24.3966
        98         132.112         105.682         24.5892
        99         132.112         105.461         24.4786

  Best member after 100 generations:

  var(0) = -509.328
  var(1) = -511.573
  var(2) = 384.602

  Best fitness = 132.112

PARALLEL_GA:
  Normal end of execution.

25 March 2017 10:31:50 PM
