02 April 2017 09:11:03 PM

PARALLEL_GA:
  A simple example of a genetic algorithm.

  Generation       Best            Average       Standard 
  number           value           fitness       deviation 

         0         128.757          9.5111         23.3285
         1         128.757         14.6091         27.2019
         2         128.757         16.0109          28.127
         3         128.757         20.4626         29.1089
         4         128.757         24.1669         28.6299
         5         128.757         28.5962         29.4346
         6         128.757         31.5063         29.3996
         7         128.757         34.3902           29.89
         8         128.757         28.3249         29.1682
         9         128.757         35.8326         30.4069
        10         129.787         36.0677         29.0343
        11         129.787         38.6216         28.6932
        12         129.787         36.8205         26.4888
        13         129.787          37.544         27.7134
        14         129.787         36.9268         25.6979
        15         129.787         34.8001         24.5888
        16         129.787         32.4571           23.45
        17         129.787         29.3307         23.4933
        18         129.787         22.6883         23.9096
        19         129.787         20.0174          22.932
        20         129.787         27.6718          25.664
        21         129.787         29.3236         24.1218
        22         129.787         26.9144         22.5979
        23         129.787         24.7448         20.6466
        24         129.787         32.5702         23.5263
        25         129.787         30.4589          21.889
        26         129.787          37.511         23.8493
        27         129.787         34.9483          22.675
        28         129.787         35.2799         21.8917
        29         129.787         42.9121         22.6536
        30         131.929         38.1784         23.3544
        31         131.929         34.2056         22.2966
        32         131.929         41.1788           23.21
        33         131.929         43.8044         24.8142
        34         131.929         42.6555         22.9318
        35         131.929         46.4229         22.3813
        36         131.929         52.1622         25.0213
        37         131.929         52.6279          25.385
        38         131.929         53.4601         24.4612
        39         131.929          56.572         23.4382
        40         131.929         52.2951         23.5074
        41         131.929         49.8184         22.3992
        42         131.929         46.1149         21.7008
        43         131.929         54.5658         25.1928
        44         131.929          50.854         24.7273
        45         131.929         50.9607          23.367
        46         131.929         48.9614         23.2637
        47         131.929         49.2522         22.8304
        48         131.929          50.139           21.13
        49         131.929         50.8713         20.4635
        50         131.929          55.051         22.0902
        51         131.929         51.9211         23.0716
        52         131.929         52.8725         21.8036
        53         131.929         52.4711         21.8342
        54         131.929         52.3244         21.2197
        55         131.929          55.788         23.1492
        56         131.929         58.6992         21.5648
        57         131.929         58.8456         20.4993
        58         131.929         58.8344         18.7998
        59         131.929         58.3676         18.3598
        60         131.929         52.2799         19.6544
        61         131.929         54.0356          18.579
        62         131.929         55.8753         17.9038
        63         131.929         47.9435         20.9679
        64         131.929         50.5408           20.55
        65         131.929         52.3979         18.5365
        66         131.929         48.9127         18.8706
        67         131.929         51.7643         17.9898
        68         131.929         53.9327         17.7491
        69         131.929         56.5887         16.4089
        70         131.929         51.3469         18.3768
        71         131.929         51.0661         17.1895
        72         131.929         53.2553         16.7126
        73         131.929         55.1325         16.4358
        74         131.929          57.602         16.7646
        75         131.929         54.7245         16.9136
        76         131.929         57.4437         16.5544
        77         131.929         57.5619         15.9997
        78         131.929         48.3605         23.2848
        79         131.929         50.9477         21.5148
        80         131.929         56.7341         22.4002
        81         131.929         48.0241         26.2965
        82         131.929         51.6005         24.6131
        83         131.929         53.9823         22.9608
        84         131.929         55.2303         21.4068
        85         131.929         52.0544         21.9208
        86         131.929         48.8111         21.5143
        87         131.929         52.0568         21.3173
        88         131.929         53.9561         19.8675
        89         131.929         52.8563         21.0359
        90         131.929         56.2235         21.2365
        91         131.929         57.7462          19.441
        92         131.929         58.4198         18.2111
        93         131.929         59.6658         17.9129
        94         131.929         55.0006         19.8756
        95         131.929         56.8745         18.3887
        96         131.929         52.9122         19.0669
        97         131.929         54.6168         18.4083
        98         131.929         57.1255         17.8153
        99         131.929         57.9138         17.5553

  Best member after 100 generations:

  var(0) = 508.718
  var(1) = -510.9
  var(2) = 125.527

  Best fitness = 131.929

SIMPLE_GA:
  Normal end of execution.

02 April 2017 09:11:08 PM
4.972132
