25 March 2017 10:20:21 PM

PARALLEL_GA:
  A simple example of a genetic algorithm.

  Generation       Best            Average       Standard 
  number           value           fitness       deviation 

         0         129.737         59.5805          27.794
         1         131.023         69.2161         27.8682
         2          131.05         74.7946         27.8082
         3         131.862         78.6934         27.4979
         4         131.862          81.566         27.0861
         5         131.862         83.8115         27.1159
         6         131.862         84.8977         27.7487
         7         131.862         86.3454         27.4951
         8         131.946         87.5834         27.1987
         9         131.946         87.6354         27.9041
        10         131.946         87.7072         28.2813
        11         131.946         88.6891         28.5068
        12         131.946         89.9548         28.2982
        13         131.946         90.2249         28.1058
        14         131.946         90.8434         28.2769
        15         131.946         91.2643          28.129
        16         131.946         91.1023         29.2278
        17         131.946         92.9319         28.8748
        18         131.946         93.3015           28.27
        19         131.946         93.0916         28.9206
        20         131.946         92.4502         29.3877
        21         131.946         94.1382         28.7215
        22         131.946         93.8307            28.9
        23         131.946         93.2805         28.9808
        24         132.063         94.6901         28.5722
        25         132.063         94.5893         29.3174
        26         132.063         94.8016         29.3246
        27         132.063         95.6113         28.9889
        28         132.063         95.1939         29.2153
        29         132.063         94.5705         29.1681
        30         132.063         95.5143         28.8793
        31         132.063         93.9782         29.3353
        32         132.063         94.4433         29.2226
        33         132.063         94.0523         30.0702
        34         132.063         93.7594         30.3319
        35         132.063         95.0887         29.1138
        36         132.064         94.5926         29.6673
        37         132.092         95.5125         29.4558
        38         132.092         96.0895         29.1711
        39         132.092         95.3664         29.4192
        40         132.092         94.2206         29.4305
        41         132.092         95.3384         28.4883
        42         132.092         94.7343         29.2582
        43         132.092         94.8653         29.4974
        44         132.092          96.195         28.9507
        45         132.092          96.067         28.8485
        46         132.092         95.7816         28.9078
        47         132.097         94.7804         29.3602
        48         132.097         95.3399         28.5479
        49         132.097         95.2477         28.4572
        50         132.097         95.3468         28.4329
        51         132.097         94.9815         28.9705
        52         132.097         94.3401         29.7307
        53         132.097         95.1385         29.4197
        54         132.097         94.8553         29.1429
        55         132.097         95.1243         29.4313
        56         132.115          94.083         29.3261
        57         132.115         93.7901         29.6798
        58         132.115         95.1865         29.3714
        59         132.115         95.3857         29.4864
        60         132.116         95.5684          29.537
        61         132.116         95.8538          29.289
        62         132.116         95.6166          29.383
        63         132.116         95.3867         29.7449
        64         132.116          95.465         29.9324
        65         132.116         96.6503         28.7043
        66         132.116            96.1         28.9172
        67         132.116         96.0674         29.0663
        68         132.116         96.0368         28.6196
        69         132.116         95.2969         29.3645
        70         132.116         95.5331         28.9101
        71         132.116         95.4829         28.9601
        72         132.116         95.0269         29.4324
        73         132.116         95.0039         29.5974
        74         132.116         96.2912         28.9878
        75         132.116          96.068         28.8611
        76         132.116          95.036         29.8272
        77         132.116         96.6724         29.1856
        78         132.116         96.0276         29.5835
        79         132.116         95.1278         29.7353
        80         132.116         96.1083          28.893
        81         132.116         96.0026         29.7903
        82         132.116         96.0016         29.1119
        83         132.116         95.6504         29.2067
        84         132.116         95.1512         29.6557
        85         132.116         95.6922          29.493
        86         132.116          95.745         29.4615
        87         132.116         96.3789         29.3053
        88         132.116         95.9142         29.5891
        89         132.116         95.0915         30.0278
        90         132.116          95.614         29.7008
        91         132.116         96.8737         28.8255
        92         132.116         95.4462         30.0314
        93         132.116         95.4388         29.7733
        94         132.116         95.7185         29.6399
        95         132.116         96.0822         29.6313
        96         132.116         95.3612         29.7609
        97         132.116         96.2562         29.6197
        98         132.116          96.922         29.3551
        99         132.116           95.49         29.7108

  Best member after 100 generations:

  var(0) = -509.233
  var(1) = -511.377
  var(2) = -454.926

  Best fitness = 132.116

PARALLEL_GA:
  Normal end of execution.

25 March 2017 10:20:23 PM
