02 April 2017 09:10:37 PM

PARALLEL_GA:
  A simple example of a genetic algorithm.

  Generation       Best            Average       Standard 
  number           value           fitness       deviation 

         0         128.757         59.5805          27.794
         1         129.737         69.2161         27.8682
         2         131.023         74.7946         27.8082
         3          131.05         78.6934         27.4979
         4         131.862         81.5396         27.1012
         5         131.862         83.7855         27.1321
         6         131.862         84.8715         27.7661
         7         131.862         86.3192         27.5143
         8         131.862         87.5834         27.1987
         9         131.946         87.6091         27.9243
        10         131.946         87.7072         28.2813
        11         131.946         88.6891         28.5068
        12         131.946         89.9548         28.2982
        13         131.946         90.2249         28.1058
        14         131.946         90.8173         28.2992
        15         131.946         91.2643          28.129
        16         131.946         91.1023         29.2278
        17         131.946         92.9319         28.8748
        18         131.946         93.3015           28.27
        19         131.946         93.0916         28.9206
        20         131.946         92.4502         29.3877
        21         131.946         94.1382         28.7215
        22         131.946         93.8307            28.9
        23         131.946         93.2805         28.9808
        24         131.946         94.6901         28.5722
        25         132.063          94.563         29.3426
        26         132.063         94.7753           29.35
        27         132.063         95.5851         29.0151
        28         132.063         95.1676         29.2412
        29         132.063         94.5444          29.193
        30         132.063         95.4881         28.9057
        31         132.063         93.9518         29.3603
        32         132.063         94.4171         29.2477
        33         132.063         94.0263         30.0937
        34         132.063         93.7333         30.3549
        35         132.063         95.0626         29.1393
        36         132.063         94.5926         29.6673
        37         132.064         95.5125         29.4558
        38         132.092         96.0632          29.198
        39         132.092         95.3402         29.4448
        40         132.092         94.2206         29.4305
        41         132.092         95.3384         28.4883
        42         132.092         94.7079         29.2838
        43         132.092         94.8392         29.5222
        44         132.092         96.1688         28.9775
        45         132.092         96.0407         28.8756
        46         132.092         95.7553         28.9345
        47         132.092         94.7804         29.3602
        48         132.097          95.314         28.5734
        49         132.097         95.2216         28.4832
        50         132.097         95.3468         28.4329
        51         132.097         94.9815         28.9705
        52         132.097         94.3401         29.7307
        53         132.097         95.1385         29.4197
        54         132.097         94.8553         29.1429
        55         132.097         95.1243         29.4313
        56         132.097          94.083         29.3261
        57         132.115         93.7641         29.7032
        58         132.115         95.1865         29.3714
        59         132.115         95.3857         29.4864
        60         132.115         95.5684          29.537
        61         132.116         95.8276         29.3151
        62         132.116         95.5903         29.4092
        63         132.116         95.3606           29.77
        64         132.116         95.4387         29.9579
        65         132.116         96.6242         28.7315
        66         132.116         96.0739         28.9435
        67         132.116         96.0412         29.0929
        68         132.116         96.0368         28.6196
        69         132.116         95.2969         29.3645
        70         132.116         95.5331         28.9101
        71         132.116         95.4829         28.9601
        72         132.116         95.0269         29.4324
        73         132.116         94.9776         29.6228
        74         132.116         96.2648         29.0151
        75         132.116          96.068         28.8611
        76         132.116          95.036         29.8272
        77         132.116          96.646         29.2132
        78         132.116         96.0012           29.61
        79         132.116         95.1278         29.7353
        80         132.116         96.1083          28.893
        81         132.116         95.9763         29.8162
        82         132.116         95.9754         29.1383
        83         132.116         95.6242         29.2329
        84         132.116          95.125         29.6809
        85         132.116         95.6658         29.5192
        86         132.116         95.7188         29.4876
        87         132.116         96.3789         29.3053
        88         132.116         95.8881         29.6146
        89         132.116         95.0653         30.0527
        90         132.116         95.5877         29.7266
        91         132.116         96.8475         28.8528
        92         132.116         95.4201         30.0563
        93         132.116         95.4388         29.7733
        94         132.116         95.7185         29.6399
        95         132.116         96.0822         29.6313
        96         132.116         95.3349         29.7867
        97         132.116           96.23         29.6458
        98         132.116         96.8958         29.3822
        99         132.116         95.4637         29.7365

  Best member after 100 generations:

  var(0) = -509.233
  var(1) = -511.377
  var(2) = -454.926

  Best fitness = 132.116

PARALLEL_GA:
  Normal end of execution.

02 April 2017 09:10:39 PM
1.797897
